Date,AMC Close
5/1/2015,30.75
5/4/2015,30.49
5/5/2015,29.97
5/6/2015,29.54
5/7/2015,29.83
5/8/2015,29.66
5/11/2015,29.97
5/12/2015,29.01
5/13/2015,29.39
5/14/2015,29.46
5/15/2015,29.11
5/18/2015,29.9
5/19/2015,29.4
5/20/2015,29.46
5/21/2015,29.37
5/22/2015,29.6
5/26/2015,29.52
5/27/2015,29.26
5/28/2015,29.25
5/29/2015,28.91
6/1/2015,28
6/2/2015,27.87
6/3/2015,28.44
6/4/2015,28.24
6/5/2015,28.83
6/8/2015,28.39
6/9/2015,28.51
6/10/2015,28.22
6/11/2015,28.57
6/12/2015,28.47
6/15/2015,28.87
6/16/2015,28.47
6/17/2015,28.01
6/18/2015,29.58
6/19/2015,30.1
6/22/2015,30.55
6/23/2015,30.42
6/24/2015,30.13
6/25/2015,30.28
6/26/2015,31.64
6/29/2015,30.44
6/30/2015,30.68
7/1/2015,30.38
7/2/2015,30.78
7/6/2015,30.61
7/7/2015,30.85
7/8/2015,30.47
7/9/2015,30.63
7/10/2015,31.35
7/13/2015,31.84
7/14/2015,32.64
7/15/2015,32.5
7/16/2015,32.61
7/17/2015,32.82
7/20/2015,32.9
7/21/2015,31.89
7/22/2015,32.33
7/23/2015,32.21
7/24/2015,31.05
7/27/2015,30.75
7/28/2015,29.93
7/29/2015,30.43
7/30/2015,31.69
7/31/2015,32.25
8/3/2015,32.17
8/4/2015,31.59
8/5/2015,30.56
8/6/2015,29.47
8/7/2015,29.59
8/10/2015,29.7
8/11/2015,28.28
8/12/2015,28.36
8/13/2015,29.07
8/14/2015,29.46
8/17/2015,30.76
8/18/2015,30.59
8/19/2015,31
8/20/2015,29.8
8/21/2015,29.27
8/24/2015,28
8/25/2015,28.46
8/26/2015,28.77
8/27/2015,28.86
8/28/2015,29.01
8/31/2015,28.98
9/1/2015,27.71
9/2/2015,27.9
9/3/2015,27.43
9/4/2015,27.71
9/8/2015,27.91
9/9/2015,27.16
9/10/2015,27.13
9/11/2015,26.93
9/14/2015,26.94
9/15/2015,27.12
9/16/2015,27.18
9/17/2015,27.61
9/18/2015,27.99
9/21/2015,27.19
9/22/2015,25.87
