Date,GME Close
5/1/2015,39.17
5/4/2015,40.12
5/5/2015,40.02
5/6/2015,39.13
5/7/2015,39.51
5/8/2015,40.19
5/11/2015,39.76
5/12/2015,39.05
5/13/2015,39.2
5/14/2015,39.17
5/15/2015,40.06
5/18/2015,40.24
5/19/2015,40.31
5/20/2015,40.14
5/21/2015,40.77
5/22/2015,40.8
5/26/2015,40.18
5/27/2015,39.47
5/28/2015,40.92
5/29/2015,43.41
6/1/2015,43.47
6/2/2015,43.97
6/3/2015,43.72
6/4/2015,44.02
6/5/2015,44.14
6/8/2015,43.05
6/9/2015,42.9
6/10/2015,42.85
6/11/2015,43
6/12/2015,42.96
6/15/2015,42.52
6/16/2015,42.51
6/17/2015,43.03
6/18/2015,43.19
6/19/2015,43.09
6/22/2015,43.89
6/23/2015,44.36
6/24/2015,44.55
6/25/2015,43.66
6/26/2015,44.04
6/29/2015,42.77
6/30/2015,42.96
7/1/2015,44.12
7/2/2015,43.56
7/6/2015,44.32
7/7/2015,46.03
7/8/2015,45.74
7/9/2015,46.9
7/10/2015,46.96
7/13/2015,47.35
7/14/2015,46.73
7/15/2015,46.42
7/16/2015,47.23
7/17/2015,46.67
7/20/2015,46.83
7/21/2015,46.94
7/22/2015,47.2
7/23/2015,46.94
7/24/2015,45.49
7/27/2015,45.32
7/28/2015,45.28
7/29/2015,45.87
7/30/2015,46.16
7/31/2015,45.85
8/3/2015,44.95
8/4/2015,45.57
8/5/2015,46.39
8/6/2015,45.35
8/7/2015,45.17
8/10/2015,45.81
8/11/2015,45.72
8/12/2015,45.62
8/13/2015,46.1
8/14/2015,47.44
8/17/2015,46.95
8/18/2015,46.99
8/19/2015,46.45
8/20/2015,45.23
8/21/2015,44.83
8/24/2015,42.96
8/25/2015,43.89
8/26/2015,45.36
8/27/2015,46.2
8/28/2015,42.49
8/31/2015,42.48
9/1/2015,41.18
9/2/2015,41.81
9/3/2015,41.71
9/4/2015,41.25
9/8/2015,41.79
9/9/2015,41.79
9/10/2015,42.35
9/11/2015,42.78
9/14/2015,43.17
9/15/2015,43
9/16/2015,43.98
9/17/2015,43.61
9/18/2015,42.27
9/21/2015,41.72
9/22/2015,41.35
9/23/2015,41.08
9/24/2015,41.2
9/25/2015,41
9/28/2015,40.3
9/29/2015,40.43
9/30/2015,41.21
10/1/2015,40.52
10/2/2015,41.5
10/5/2015,42.48
10/6/2015,43.34
