Date,Hertz Close
5/1/2015,77.58
5/4/2015,75.46
5/5/2015,73.63
5/6/2015,71.96
5/7/2015,71.72
5/8/2015,72.62
5/11/2015,71.61
5/12/2015,68.91
5/13/2015,67.7
5/14/2015,67.83
5/15/2015,71.44
5/18/2015,71.89
5/19/2015,69.36
5/20/2015,71.09
5/21/2015,72.1
5/22/2015,73
5/26/2015,71.2
5/27/2015,70.75
5/28/2015,70.05
5/29/2015,68.98
6/1/2015,68.25
6/2/2015,71.06
6/3/2015,72.1
6/4/2015,71.06
6/5/2015,70.78
6/8/2015,70.09
6/9/2015,70.54
6/10/2015,71.61
6/11/2015,71.93
6/12/2015,72.48
6/15/2015,72.45
6/16/2015,71.02
6/17/2015,70.92
6/18/2015,73.42
6/19/2015,71.09
6/22/2015,70.95
6/23/2015,71.79
6/24/2015,70.26
6/25/2015,66.34
6/26/2015,66.17
6/29/2015,64.37
6/30/2015,62.84
7/1/2015,60.97
7/2/2015,59.82
7/6/2015,59.72
7/7/2015,61.56
7/8/2015,58.78
7/9/2015,58.33
7/10/2015,58.5
7/13/2015,58.85
7/14/2015,59.27
7/15/2015,59.13
7/16/2015,58.92
7/17/2015,65.93
7/20/2015,62.49
7/21/2015,61.66
7/22/2015,62.39
7/23/2015,57.05
7/24/2015,55.24
7/27/2015,54.76
7/28/2015,56.67
7/29/2015,57.05
7/30/2015,57.6
7/31/2015,58.92
8/3/2015,57.4
8/4/2015,58.61
8/5/2015,56.39
8/6/2015,56.63
8/7/2015,55.24
8/10/2015,59.37
8/11/2015,57.22
8/12/2015,62.08
8/13/2015,61.83
8/14/2015,63.01
8/17/2015,65.23
8/18/2015,65.41
8/19/2015,65.51
8/20/2015,63.05
8/21/2015,60
8/24/2015,58.26
8/25/2015,56.91
8/26/2015,59.51
8/27/2015,62.35
8/28/2015,63.46
8/31/2015,63.91
9/1/2015,60.07
9/2/2015,62.04
9/3/2015,62.28
9/4/2015,61.07
9/8/2015,62.6
9/9/2015,62.56
9/10/2015,63.29
9/11/2015,63.5
9/14/2015,62.49
9/15/2015,65.2
9/16/2015,66.55
9/17/2015,66.27
9/18/2015,62.87
9/21/2015,63.95
9/22/2015,60.55
9/23/2015,59.23
9/24/2015,59.58
9/25/2015,61.66
9/28/2015,57.98
9/29/2015,56.29
9/30/2015,58.02
10/1/2015,58.44
10/2/2015,60.69
10/5/2015,63.36
10/6/2015,61.18
10/7/2015,64.02
10/8/2015,68.67
10/9/2015,66.59
10/12/2015,66.72
10/13/2015,66.48
10/14/2015,67.7
10/15/2015,67.56
10/16/2015,66.24
10/19/2015,67.21
10/20/2015,67.63
10/21/2015,66.27
10/22/2015,66.27
10/23/2015,66.65
10/26/2015,67.45
10/27/2015,65.16
10/28/2015,67.31
10/29/2015,67.59
10/30/2015,67.63
11/2/2015,68.84
11/3/2015,64.64
11/4/2015,64.12
11/5/2015,62.56
11/6/2015,65.23
11/9/2015,57.01
11/10/2015,56.77
11/11/2015,56.77
11/12/2015,55.24
11/13/2015,55.11
11/16/2015,53.3
11/17/2015,56.56
11/18/2015,57.78
11/19/2015,58.09
11/20/2015,57.4
11/23/2015,55.63
11/24/2015,55.73
11/25/2015,56.29
11/27/2015,55.77
11/30/2015,55
12/1/2015,53.68
12/2/2015,52.44
12/3/2015,51.29
12/4/2015,50.08
12/7/2015,49.35
12/8/2015,47.51
12/9/2015,49.42
12/10/2015,50.42
12/11/2015,49.66
12/14/2015,48
12/15/2015,48.55
12/16/2015,51.26
12/17/2015,49.97
12/18/2015,49.56
12/21/2015,48.76
12/22/2015,49.97
12/23/2015,50.63
12/24/2015,51.29
12/28/2015,49.04
12/29/2015,50.32
12/30/2015,48.73
12/31/2015,49.35
1/4/2016,48.59
1/5/2016,48.69
1/6/2016,45.57
1/7/2016,43.45
1/8/2016,41.1
1/11/2016,40.02
1/12/2016,38.77
1/13/2016,36.21
1/14/2016,35.55
1/15/2016,33.71
1/19/2016,31.87
1/20/2016,31.7
1/21/2016,32.56
1/22/2016,33.81
1/25/2016,32.36
1/26/2016,35.44
1/27/2016,33.6
1/28/2016,32.49
1/29/2016,31.49
2/1/2016,31.84
2/2/2016,28.33
2/3/2016,29.3
2/4/2016,29.93
2/5/2016,28.89
2/8/2016,26.08
2/9/2016,25.7
2/10/2016,26.11
2/11/2016,24.62
2/12/2016,25.98
2/16/2016,28.19
2/17/2016,29.44
2/18/2016,29.69
2/19/2016,28.78
2/22/2016,30.62
2/23/2016,29.96
2/24/2016,25.91
2/25/2016,26.88
2/26/2016,28.68
2/29/2016,29.48
3/1/2016,33.08
3/2/2016,34.44
3/3/2016,34.71
3/4/2016,36.31
3/7/2016,37.11
3/8/2016,35.51
3/9/2016,35.23
3/10/2016,34.23
3/11/2016,38.43
3/14/2016,37.63
3/15/2016,35.93
3/16/2016,36.48
3/17/2016,38.53
3/18/2016,39.71
3/21/2016,39.22
3/22/2016,38.67
3/23/2016,36.45
3/24/2016,36.45
3/28/2016,34.02
3/29/2016,35.75
3/30/2016,35.51
3/31/2016,36.52
4/1/2016,35.37
4/4/2016,34.71
4/5/2016,33.12
4/6/2016,34.16
4/7/2016,32.77
4/8/2016,33.64
4/11/2016,29.79
4/12/2016,29.27
4/13/2016,31.28
4/14/2016,30.76
4/15/2016,30.17
4/18/2016,30.83
4/19/2016,30.93
4/20/2016,30.83
4/21/2016,31.35
4/22/2016,31.8
4/25/2016,30.41
4/26/2016,32.74
4/27/2016,33.67
4/28/2016,32.36
4/29/2016,32.11
5/2/2016,31.35
5/3/2016,30.03
5/4/2016,29.72
5/5/2016,29.86
5/6/2016,31.21
5/9/2016,30.38
5/10/2016,30.45
5/11/2016,30.59
5/12/2016,27.95
5/13/2016,26.7
5/16/2016,26.7
5/17/2016,30.07
5/18/2016,29.03
5/19/2016,29.13
5/20/2016,30.17
5/23/2016,30.55
5/24/2016,29.58
5/25/2016,31.56
5/26/2016,32.01
5/27/2016,32.04
5/31/2016,33.6
6/1/2016,34.3
6/2/2016,35.69
6/3/2016,34.85
6/6/2016,37.35
6/7/2016,39.53
6/8/2016,39.47
6/9/2016,38.77
6/10/2016,37.04
6/13/2016,36.41
6/14/2016,35.72
6/15/2016,37.56
6/16/2016,36.24
6/17/2016,36.52
6/20/2016,38.43
6/21/2016,38.43
6/22/2016,39.33
6/23/2016,41.13
6/24/2016,37.21
6/27/2016,34.19
6/28/2016,35.62
6/29/2016,37.35
6/30/2016,38.39
7/1/2016,38.39
7/5/2016,38.57
7/6/2016,38.08
7/7/2016,38.06
7/8/2016,41.92
7/11/2016,42.84
7/12/2016,44.19
7/13/2016,43.87
7/14/2016,44.2
7/15/2016,44.41
7/18/2016,44.64
7/19/2016,44.08
7/20/2016,44.85
7/21/2016,44.73
7/22/2016,45.61
7/25/2016,45.99
7/26/2016,46.04
7/27/2016,44.04
7/28/2016,43.6
7/29/2016,42.6
8/1/2016,40.85
8/2/2016,38.88
8/3/2016,39.41
8/4/2016,40.62
8/5/2016,40.9
8/8/2016,41.4
8/9/2016,39.34
8/10/2016,39.15
8/11/2016,39.69
8/12/2016,40.94
8/15/2016,42.73
8/16/2016,43.71
8/17/2016,43.37
8/18/2016,44.91
8/19/2016,44.63
8/22/2016,44.58
8/23/2016,44.85
8/24/2016,44.36
8/25/2016,44.32
8/26/2016,44.26
8/29/2016,44.29
8/30/2016,43.5
8/31/2016,43.11
9/1/2016,43.08
9/2/2016,43.4
9/6/2016,43.36
9/7/2016,44.23
9/8/2016,45.3
9/9/2016,43.33
9/12/2016,44.03
9/13/2016,42.08
9/14/2016,41.59
9/15/2016,42.04
9/16/2016,43.07
9/19/2016,42.06
9/20/2016,40.92
9/21/2016,41.16
9/22/2016,41.84
9/23/2016,40.69
9/26/2016,40.41
9/27/2016,36.36
9/28/2016,35.24
9/29/2016,33.95
9/30/2016,35.14
10/3/2016,34.68
10/4/2016,34.58
10/5/2016,34.71
10/6/2016,33.96
10/7/2016,32.16
10/10/2016,32.41
10/11/2016,31.41
10/12/2016,30.58
10/13/2016,29.57
10/14/2016,29.32
10/17/2016,29.23
10/18/2016,29.33
10/19/2016,28.79
10/20/2016,28.4
10/21/2016,28.83
10/24/2016,29.49
10/25/2016,29.74
10/26/2016,29.81
10/27/2016,29.46
10/28/2016,29.53
10/31/2016,29.01
11/1/2016,28.76
11/2/2016,28.31
11/3/2016,29.26
11/4/2016,29.16
11/7/2016,31.28
11/8/2016,24.24
11/9/2016,24.51
11/10/2016,24.91
11/11/2016,24.5
11/14/2016,24.5
11/15/2016,23.88
11/16/2016,23.14
11/17/2016,22
11/18/2016,22.08
